id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
11378134,Quaint Garage Apt- 1.5 mi fm 6th St,39283850,Eva,,78705,30.28659,-97.74742,Entire home/apt,225,1,1,2016-03-16,0.01,1,0,0,
11395632,UT Campus Apartment for SXSW,30294505,David,,78705,30.28592,-97.74594,Entire home/apt,500,1,1,2016-03-23,0.01,1,0,0,
11400538,West 6th street!! Great festival/events location.,59839524,Suzanne,,78703,30.27382,-97.76301,Entire home/apt,91,2,159,2021-11-15,1.86,1,0,0,
11409492,The Willow,28790288,Benjamin,,78758,30.38159,-97.70666,Entire home/apt,489,4,0,,,1,0,0,
11410715,Urban Loft DOWNTOWN!,969988,Neal,,78701,30.26719,-97.73996,Entire home/apt,97,1,32,2020-11-15,0.41,1,0,0,
11412040,Two Stories- Flexible Host- Perfect for SXSW!,21083462,Kate,,78705,30.29255,-97.72612,Entire home/apt,50,3,5,2016-10-10,0.06,1,0,0,
11413937,Cozy+Sunny Hyde Park Apt w/Parking,59923338,Parker,,78705,30.30051,-97.73425,Entire home/apt,199,1,3,2016-04-10,0.04,1,0,0,
11415697,House perfect for SXSW'ers!,24269490,Jeremy,,78744,30.20435,-97.69894,Private room,100,1,1,2016-03-12,0.01,1,0,0,
11417129,1BR/1BA Walking Distance to DT,59950268,Krista,,78741,30.24309,-97.73389,Entire home/apt,65,2,68,2020-12-14,0.80,1,0,0,
11417837,SXSW condo in heart of Austin!!,2427880,Geoffrey,,78704,30.25401,-97.76092,Entire home/apt,679,3,0,,,1,0,0,
11419443,2 private rooms great for SXSW,21336770,Anna,,78745,30.19565,-97.8174,Private room,95,3,0,,,1,0,0,
11422242,"Peaceful, Natural, Family Home",55682742,Chris,,78744,30.19879,-97.69871,Entire home/apt,350,2,10,2017-10-22,0.12,1,0,0,
11422368,"Small, clean, and really simple!",22781129,Yanlong,,78705,30.28734,-97.74727,Entire home/apt,180,5,1,2016-03-17,0.01,1,0,0,
11422502,Great Apartment Ideal Location,11739563,Barrett,,78703,30.27802,-97.76031,Entire home/apt,380,2,0,,,1,0,0,
11422986,"Cozy, quiet, and close to downtown & the domain",34049870,Jacqueline,,78731,30.3469,-97.75282,Entire home/apt,98,4,51,2022-04-12,0.60,2,270,2,
11424382,Gorilla House,60013204,Patrick,,78703,30.29946,-97.75969,Entire home/apt,729,2,230,2022-11-26,2.70,3,311,42,
11431211,"Secluded Riverside Estate, Pool",15300240,Landon,,78738,30.29199,-98.04155,Entire home/apt,1500,1,0,,,1,0,0,
11434645,Private Room with a Shared Bath,11334028,Janie,,78745,30.20933,-97.76667,Private room,40,1,8,2017-04-24,0.09,2,0,0,
11438029,Fantastic house minutes from SoCo,60104605,Mesgana,,78741,30.22513,-97.74,Entire home/apt,800,1,0,,,1,0,0,
11438207,Huge office/loft w/ 2 bath Downtown,2574049,Joe,,78701,30.27019,-97.74872,Entire home/apt,1950,1,0,,,1,0,0,
11439003,Cozy Austin Cottage,60112823,Alice,,78751,30.314434005797978,-97.70921171231087,Entire home/apt,174,2,157,2022-11-20,1.84,2,77,7,
11442375,Tiny Tasteful 3,32535697,Chet,,78703,30.27438,-97.75658,Entire home/apt,101,2,371,2023-03-03,4.34,7,116,60,
11445450,Relaxing WFH Condo next to Oracle Campus,2315843,John,,78741,30.24446,-97.72382,Entire home/apt,142,4,194,2022-10-24,2.47,1,0,18,
11455437,City home! Modern/large/3 miles to Downtown ATX!,110956973,Teri,,78723,30.30191,-97.70143,Entire home/apt,291,2,5,2019-11-30,0.07,1,0,0,
11458508,Private Bedroom Btwn Downtown & UT,60257763,Michelle,,78701,30.28221,-97.74597,Private room,100,1,0,,,1,0,0,
11458582,Master Bedroom in the heart of AtX,31720074,Chin,,78704,30.25965,-97.74651,Private room,200,1,3,2016-04-11,0.04,1,0,0,
11459171,cute and spacious condo on SoCo,44362649,Tiffany,,78745,30.20107,-97.77569,Entire home/apt,200,3,3,2016-10-10,0.04,1,0,0,
11459538,S. Austin Luxury apt w/private yard,60265516,Teresa,,78744,30.17739,-97.77735,Entire home/apt,160,1,0,,,1,0,0,
